(job_title, location) pair counts
Source: data\structured_jobs_20.05_normalized_cleaned.jsonl
Total records: 7635
Unique pairs:  404
---------------------------------------------------------------------------
 Count  Job Title                                 Location
    10  Business Analyst                          Basel-Stadt
    10  System Administrator                      Basel-Stadt
     9  IT Architect                              St. Gallen
     9  Others                                    Basel-Stadt
     9  Software Engineer / Developer             Basel-Landschaft
     9  Database Administrator                    Lucerne
     9  IT Support / Helpdesk                     Thurgau
     9  Database Administrator                    Bern
     9  Software Engineer / Developer             Fribourg
     9  Data Engineer / Analyst                   Zug
     9  Product Manager / Owner                   St. Gallen
     9  System Administrator                      Solothurn
     9  Network Engineer                          Zug
     9  Others                                    Thurgau
     8  Software Engineer / Developer             Schwyz
     8  Cybersecurity Specialist                  Geneva
     8  Others                                    Others
     8  IT Consultant                             Geneva
     8  Data Engineer / Analyst                   St. Gallen
     8  Others                                    Solothurn
     8  System Administrator                      Schaffhausen
     8  Scrum Master / Agile Coach                Bern
     8  Scrum Master / Agile Coach                Lucerne
     8  IT Manager / Team Lead                    Geneva
     8  Data Engineer / Analyst                   Multiple Cantons
     8  Data Engineer / Analyst                   Neuchâtel
     8  Cybersecurity Specialist                  Schaffhausen
     8  IT Architect                              Vaud
     8  Cybersecurity Specialist                  Others
     8  Cloud Engineer / Architect                St. Gallen
     7  System Administrator                      Multiple Cantons
     7  Business Analyst                          Solothurn
     7  Others                                    Basel-Landschaft
     7  Network Engineer                          Basel-Stadt
     7  Cybersecurity Specialist                  Solothurn
     7  System Engineer                           Schwyz
     7  IT Manager / Team Lead                    Schwyz
     7  IT Consultant                             Lucerne
     7  Cybersecurity Specialist                  Basel-Landschaft
     7  Others                                    Graubünden
     7  Cloud Engineer / Architect                Multiple Cantons
     7  Data Engineer / Analyst                   Solothurn
     7  IT Project Manager                        Graubünden
     7  IT Manager / Team Lead                    Others
     7  IT Support / Helpdesk                     Schaffhausen
     7  SAP Consultant                            Zug
     7  Abacus Specialist                         Bern
     7  IT Manager / Team Lead                    Valais
     7  Data Engineer / Analyst                   Basel-Stadt
     7  Data Engineer / Analyst                   Others
     7  System Administrator                      St. Gallen
     7  SAP Consultant                            Others
     7  Cloud Engineer / Architect                Thurgau
     6  SAP Consultant                            Graubünden
     6  Product Manager / Owner                   Zug
     6  Others                                    Neuchâtel
     6  Abacus Specialist                         Vaud
     6  Cybersecurity Specialist                  Vaud
     6  IT Architect                              Basel-Landschaft
     6  System Administrator                      Valais
     6  IT Project Manager                        Geneva
     6  QA / Test Engineer                        Geneva
     6  System Administrator                      Lucerne
     6  IT Architect                              Solothurn
     6  Scrum Master / Agile Coach                Zurich
     6  Data Engineer / Analyst                   Graubünden
     6  Software Engineer / Developer             Schaffhausen
     6  IT Consultant                             St. Gallen
     6  DevOps / Platform Engineer                Basel-Stadt
     6  Cloud Engineer / Architect                Basel-Landschaft
     6  System Administrator                      Basel-Landschaft
     6  Cybersecurity Specialist                  Graubünden
     6  Cloud Engineer / Architect                Solothurn
